Single/Multiphase,synthesis method,grain size ($\mu$m),ROM Density (g/cm$^3$),HV,Type of test,Test temperature ($^\circ$C),YS (MPa),UTS (MPa),Elongation (%),Elongation plastic (%),ROM Young modulus (GPa),Exp. Young modulus (GPa),Exp. Density (g/cm$^3$),BCC/FCC/other,Processing method,Calculated Density (g/cm$^3$),Calculated Young modulus (GPa),Young modulus_new (GPa)
M,HIP+A,,6.7,,C,1000,115,,50,,,,,other,OTHER,6.6,,
S,HIP+A,550,6.4,304,C,25,918,,50,,109,,,BCC,OTHER,6.4,105,109
S,HIP+A,,6.3,,C,600,571,,50,,,,,BCC,OTHER,6.4,105,105
S,HIP+A,,6.3,,C,800,240,,50,,,,,BCC,OTHER,6.4,105,105
S,HIP+A,,6.3,,C,1000,72,,50,,,,,BCC,OTHER,6.4,105,105
S,HIP+A,550,6.5,335,C,25,1105,,50,,104,,,BCC,OTHER,6.5,100,100
S,HIP+A,,6.5,,C,600,834,,50,,,,,BCC,OTHER,6.5,100,100
S,HIP+A,,6.5,,C,800,187,,50,,,,,BCC,OTHER,6.5,100,100
S,HIP+A,,6.5,,C,1000,58,,50,,,,,BCC,OTHER,6.5,100,100
S,AC,,7.9,,C,25,1176,1538,,,123.1,,,BCC,CAST,7.9,115,115
M,AC,,7.8,,C,25,1183,2139,38,,,,,other,CAST,7.8,,
M,AC,,7.7,,C,25,1201,1965,33,,,,,other,CAST,7.7,,
S,AC,,9.9,395,C,25,1112,,50,,,96,,BCC,CAST,9.9,115,115
S,AC,,10,480,C,25,1317,,50,,,102,,BCC,CAST,9.9,123,123
S,AC,,10,492,C,25,1373,,50,,,109,,BCC,CAST,9.9,130,130
S,AC,,10,505,C,25,1512,1800,12,,,115,,BCC,CAST,9.9,137,137
S,AC,,9.9,335,C,25,1015,,50,,,85,,BCC,CAST,9.9,107,107
S,AC,,10,505,C,25,1512,,12,,147,,,BCC,CAST,9.9,137,147
S,AC,,10,,C,800,1007,,23,,,,,BCC,CAST,9.9,137,137
S,AC,,10,,C,1000,814,,30,,,,,BCC,CAST,9.9,137,137
S,AC,,10,,C,1200,556,,30,,,,,BCC,CAST,9.9,137,137
S,AC,,10.2,542,C,25,1600,1743,4,,155,,,BCC,CAST,10.2,143,143
S,AC,,10.2,,C,800,1045,1446,19,,,,,BCC,CAST,10.2,143,143
S,AC,,10.2,,C,1000,855,,30,,,,,BCC,CAST,10.2,143,143
S,AC,,10.2,,C,1200,404,,30,,,,,BCC,CAST,10.2,143,143
S,A,,8.7,,C,25,1575,1640,9,,,,,BCC,ANNEAL,8.7,128,128
S,A,,8.7,,C,800,825,1095,50,,,,,BCC,ANNEAL,8.7,128,128
S,A,,8.7,,C,1000,635,654,50,,,,,BCC,ANNEAL,8.7,128,128
S,A,,8.7,,C,1200,187,194,50,,,,,BCC,ANNEAL,8.7,128,128
S,AC,,8.7,,C,25,1719,1803,10,,139,,,BCC,CAST,8.7,128,128
M,AC,,8.6,,C,800,875,,50,,,,,other,CAST,7.8,,
M,AC,,8.6,,C,1000,240,,50,,,,,other,CAST,7.8,,
M,AC,,8.6,490,C,25,1399,1608,11,,,,,other,CAST,7.8,,
S,AC,,8.1,301,T,25,903,990,19,,107,,,BCC,CAST,8.2,103,107
S,HIP+A,,9.9,,C,25,929,,50,,,,,BCC,OTHER,9.9,107,107
S,HIP+A,,9.9,,C,400,790,,50,,,,,BCC,OTHER,9.9,107,107
S,HIP+A,,9.9,,C,600,675,,50,,,,,BCC,OTHER,9.9,107,107
S,HIP+A,,9.9,,C,800,535,,50,,,,,BCC,OTHER,9.9,107,107
S,HIP+A,,9.9,,C,1000,295,,50,,,,,BCC,OTHER,9.9,107,107
S,HIP+A,,9.9,,C,1200,92,,50,,,,,BCC,OTHER,9.9,107,107
S,AC,,8.4,,T,25,879,969,,14.9,92,,,BCC,CAST,8.4,89,92
S,A,200,10.7,504,C,25,1525,2400,21,,187,,,BCC,ANNEAL,10.7,186,187
S,AC,80,12.4,536,C,25,1246,1270,2,,232,,,BCC,CAST,12.4,229,232
S,AC,,12.4,,C,600,862,,13,,,,,BCC,CAST,12.4,229,229
S,AC,,12.4,,C,800,846,,17,,,,,BCC,CAST,12.4,229,229
S,AC,,12.4,,C,1000,842,,19,,,,,BCC,CAST,12.4,229,229
S,AC,,12.4,,C,1200,735,,7.5,,,,,BCC,CAST,12.4,229,229
S,AC,,12.4,,C,1400,656,,40,,,,,BCC,CAST,12.4,229,229
S,AC,,12.4,,C,1600,477,,40,,,,,BCC,CAST,12.4,229,229
S,AC,200,13.7,454,C,25,1058,1211,2,,258,,,BCC,CAST,13.7,250,258
S,AC,,13.8,,C,600,561,,40,,,,,BCC,CAST,13.7,250,250
S,AC,,13.8,,C,800,552,,40,,,,,BCC,CAST,13.7,250,250
S,AC,,13.8,,C,1000,548,,40,,,,,BCC,CAST,13.7,250,250
S,AC,,13.8,,C,1200,506,,40,,,,,BCC,CAST,13.7,250,250
S,AC,,13.8,,C,1400,421,,40,,,,,BCC,CAST,13.7,250,250
S,AC,,13.8,,C,1600,405,,40,,,,,BCC,CAST,13.7,250,250
S,A,,6.7,,C,25,1289,,,42,,,,BCC,ANNEAL,6.7,114,114
S,A,,6.8,,C,25,1473,,,32,,,,BCC,ANNEAL,6.8,122,122
S,A,,7,,C,25,1706,,,32,,,,BCC,ANNEAL,6.9,130,130
S,A,,7.3,,C,25,1496,,,30,,,,BCC,ANNEAL,7.3,150,150
S,A,,7.4,,C,25,1603,,,20,,,,BCC,ANNEAL,7.4,156,156
S,A,,7.5,,C,25,1645,,,15,,,,BCC,ANNEAL,7.5,161,161
S,A,,7.6,,C,25,1765,,,12,,,,BCC,ANNEAL,7.6,169,169
S,A,,7.1,,C,25,1779,,,32,,,,BCC,ANNEAL,7.1,141,141
S,A,,7.3,,C,25,1455,,,25,,,,BCC,ANNEAL,7.2,142,142
S,A,,6.6,,C,25,932,,,45,,,,BCC,ANNEAL,6.6,102,102
S,A,,6.8,,C,25,1312,,,50,,,,BCC,ANNEAL,6.8,112,112
S,A,,6.9,,C,25,1301,,,43,,,,BCC,ANNEAL,6.9,122,122
S,A,,7.1,,C,25,1436,,,27,,,,BCC,ANNEAL,7.1,130,130
S,A,,7.4,,C,25,1603,,,20,,,,BCC,ANNEAL,7.4,153,153
S,A,,7.5,,C,25,1576,,,8,,,,BCC,ANNEAL,7.5,159,159
S,A,,6.5,,C,25,866,,,45,,,,BCC,ANNEAL,6.5,96,96
S,A,,6.5,,C,25,1104,,,50,,,,BCC,ANNEAL,6.5,100,100
S,AC,,7.3,,C,25,1776,3893,30,,153,,,BCC,CAST,7.3,142,153
S,AC,,7.2,,C,25,1647,3307,28,,152,,,BCC,CAST,7.2,142,152
S,AC,,7.2,,C,25,1708,3929,29,,150,,,BCC,CAST,7.2,141,150
S,AC,,7.1,,C,25,1786,3828,26,,149,,,BCC,CAST,7.1,141,149
S,AC,,7.1,,C,25,1735,3300,20,,147,,,BCC,CAST,7.1,140,147
S,AC,,7,,C,25,1538,3176,23,,146,,,BCC,CAST,7,139,146
S,AC,,6.9,,C,25,1418,2508,24,,143,,,BCC,CAST,6.9,138,143
S,AC,,7.3,,C,25,1592,3450,34,,155,,,BCC,CAST,7.3,143,155
M,AC,,8,267,,25,,,,,,,,other,CAST,8,,
M,AC,,8.1,402,,25,,,,,,,,other,CAST,8.1,,
M,AC,,8.2,557,,25,,,,,,,,other,CAST,8.2,,
M,AC,,8.3,606,,25,,,,,,,,other,CAST,8.3,,
M,AC,,8.4,602,,25,,,,,,,,other,CAST,8.4,,
M,AC,,8.5,538,,25,,,,,,,,other,CAST,8.5,,
M,AC,,8.5,520,,25,,,,,,,,other,CAST,8.5,,
M,AC,,8.5,510,,25,,,,,,,,other,CAST,8.5,,
M,AC,,8.5,382,,25,,,,,,,,other,CAST,8.5,,
M,AC,,8.4,625,,25,,,,,,,,other,CAST,8.4,,
S,AC,,7.8,238,,25,,,,,187,,,FCC,CAST,7.8,184,187
M,AC,,6.7,,C,25,1862,2431,1,,,164,,other,CAST,7.2,,164
S,AC,,6.1,,C,25,1465,2016,2,,,190,,BCC,CAST,7.1,174,190
M,AC,,5.1,,C,25,1461,1461,1,,,163,,other,CAST,6.8,,163
M,AC,,7.3,,C,25,1312,1312,1,,,74,,other,CAST,7.3,,74
S,AC,,8.3,147,C,25,215,,60,,169,,,FCC,CAST,8.3,167,169
S,AC,,8.3,109,C,25,140,,65,,171,,,FCC,CAST,8.3,169,171
M,AC,,8.1,241,C,25,515,,40,,,,,other,CAST,8.1,,
M,AC,,8.3,318,C,25,630,,20,,,,,other,CAST,8.3,,
S,AC,,8.3,166,C,25,330,,45,,174,,,FCC,CAST,8.3,173,174
M,AC,,8.4,205,C,25,380,,63,,,,,other,CAST,8.4,,
S,AC,,7.9,,C,1000,150,,,,,,,FCC,CAST,7.6,189,189
S,AC,,7.9,,C,25,388,,,,,,,FCC,CAST,7.6,189,189
S,AC,,7.9,,C,300,411,,,,,,,FCC,CAST,7.6,189,189
S,AC,,7.9,,C,500,421,,,,,,,FCC,CAST,7.6,189,189
S,AC,,7.9,,C,700,426,,,,,,,FCC,CAST,7.6,189,189
S,AC,,7.9,,C,900,230,,,,,,,FCC,CAST,7.6,189,189
S,AC,,7.9,,C,1100,80,,,,,,,FCC,CAST,7.6,189,189
S,AC,,6.7,,C,1000,116,,,,,,,BCC,CAST,6.3,156,156
S,AC,,6.7,,C,1100,79,,,,,,,BCC,CAST,6.3,156,156
S,AC,,6.7,,C,25,1620,,,,,,,BCC,CAST,6.3,156,156
S,AC,,6.7,,C,600,805,,,,,,,BCC,CAST,6.3,156,156
S,AC,,6.7,,C,500,1120,,,,,,,BCC,CAST,6.3,156,156
S,AC,,6.7,,C,700,567,,,,,,,BCC,CAST,6.3,156,156
S,AC,,6.7,,C,900,214,,,,,,,BCC,CAST,6.3,156,156
S,AC,,6.7,,C,800,302,,,,,,,BCC,CAST,6.3,156,156
M,AC,,7.4,,C,1000,47,,,,,,,other,CAST,7.1,,
M,AC,,7.4,,C,25,948,,,,,,,other,CAST,7.1,,
M,AC,,7.4,,C,600,561,,,,,,,other,CAST,7.1,,
M,AC,,7.4,,C,700,307,,,,,,,other,CAST,7.1,,
M,AC,,7.4,,C,800,172,,,,,,,other,CAST,7.1,,
M,AC,,7.4,,C,900,98,,,,,,,other,CAST,7.1,,
S,AC,,6.6,,C,25,,,,,,,,BCC,CAST,6.6,170,170
S,AC,,6.6,,C,400,1080,1100,2,,,,,BCC,CAST,6.6,170,170
S,AC,,6.6,,C,600,1060,1170,3,,,,,BCC,CAST,6.6,170,170
S,AC,,6.6,,C,800,860,1000,2,,,,,BCC,CAST,6.6,170,170
S,AC,,6.6,,C,1000,594,630,15,,,,,BCC,CAST,6.6,170,170
S,AC,,6.6,,C,1200,105,116,24,,,,,BCC,CAST,6.6,170,170
S,A,,6.6,,C,600,930,,,,,,,BCC,ANNEAL,6.6,170,170
S,A,,6.6,,C,800,875,,,,,,,BCC,ANNEAL,6.6,170,170
S,A,,6.6,,C,1000,550,,,,,,,BCC,ANNEAL,6.6,170,170
S,A,,6.6,,C,1200,150,,,,,,,BCC,ANNEAL,6.6,170,170
S,A,,6,,C,400,1070,,,,,,,BCC,ANNEAL,6,189,189
S,A,,6,,C,600,1020,,,,,,,BCC,ANNEAL,6,189,189
S,A,,6,,C,800,875,,,,,,,BCC,ANNEAL,6,189,189
S,A,,6,,C,1000,375,,,,,,,BCC,ANNEAL,6,189,189
S,A,,6,,C,1200,100,,,,,,,BCC,ANNEAL,6,189,189
S,A,,6.5,,C,600,520,,,,,,,BCC,ANNEAL,6.5,151,151
S,A,,6.5,,C,800,500,,,,,,,BCC,ANNEAL,6.5,151,151
S,A,,6.5,,C,1000,540,,,,,,,BCC,ANNEAL,6.5,151,151
S,A,,6.5,,C,1200,200,,,,,,,BCC,ANNEAL,6.5,151,151
S,A,,5.5,,C,600,780,1005,,,,,,other,ANNEAL,5.5,,
S,A,,5.5,,C,800,560,700,,,,,,other,ANNEAL,5.5,,
S,A,,5.5,,C,25,1000,1280,,,,,,other,ANNEAL,5.5,,
M,A,,5.7,,C,600,1155,1385,,,,,,other,ANNEAL,5.8,,
M,A,,5.7,,C,800,550,600,,,,,,other,ANNEAL,5.8,,
M,A,,5.7,,C,25,1500,1675,,,,,,other,ANNEAL,5.8,,
M,A,,5.5,,C,600,975,1085,,,,,,other,ANNEAL,5.5,,
M,A,,5.5,,C,800,865,920,,,,,,other,ANNEAL,5.5,,
M,A,,5.5,,C,25,1290,1395,,,,,,other,ANNEAL,5.5,,
M,A,,5.6,,C,600,1065,1260,,,,,,other,ANNEAL,5.6,,
M,A,,5.6,,C,800,855,865,,,,,,other,ANNEAL,5.6,,
M,A,,5.6,,C,25,1360,1480,,,,,,other,ANNEAL,5.6,,
M,A,,5.6,,C,600,1135,1425,,,,,,other,ANNEAL,5.6,,
M,A,,5.6,,C,800,675,740,,,,,,other,ANNEAL,5.6,,
M,A,,5.6,,C,25,1485,,,,,,,other,ANNEAL,5.6,,
M,A,,5.8,,C,600,1195,1195,,,,,,other,ANNEAL,5.8,,
M,A,,5.8,,C,800,180,395,,,,,,other,ANNEAL,5.8,,
M,A,,5.8,,C,25,1535,1550,,,,,,other,ANNEAL,5.8,,
M,AC,,8.8,,C,25,,1419.6,,,,,,other,CAST,8.8,,
M,AC,,7.8,,C,25,,1096.8,,,,,,other,CAST,7.8,,
M,AC,,8.5,,C,25,,1905.6,,,,,,other,CAST,8.5,,
S,AC,,8.3,,C,25,,1771.3,,,220.1,,,BCC,CAST,8.3,212,212
M,AC,,8.2,,C,25,,1609.2,,,,,,other,CAST,8.2,,
M,A,,8.2,,C,25,1457,1908,,,,,,other,ANNEAL,8.2,,
M,A,,8.2,,C,25,1420,1885,4.2,,,,,other,ANNEAL,8.2,,
M,A,,8.2,,C,25,1328,1884,,,,,,other,ANNEAL,8.2,,
M,A,,8.2,,C,25,1322,1726,,,,,,other,ANNEAL,8.2,,
M,AC,,8.2,,C,25,1375,2130,3,,,,,other,CAST,8.2,,
M,A,,8,,C,25,1157,1468,,,,,,other,ANNEAL,8.1,,
S,A,,8,,C,25,1253,1393,,,99,,,BCC,ANNEAL,8.1,95,99
S,A,,8,,C,25,1140,1463,,,99,,,BCC,ANNEAL,8.1,95,99
S,A,,8,,C,25,1120,1376,30,,99,,,BCC,ANNEAL,8.1,95,99
M,AC,,8,,C,25,1170,1463,29.6,,,,,other,CAST,8.1,,
M,SPS,,12.5,715,C,25,2034,,1.5,,,,,other,POWDER,12.6,,
M,SPS,,12.5,,C,1200,750,,1.5,,,,,other,POWDER,12.6,,
M,SPS,,12.2,780,C,25,2050,,1.5,,,,,other,POWDER,12.3,,
M,SPS,,12.2,,C,1200,586,,1.5,,,,,other,POWDER,12.3,,
M,SPS,,12.9,715,C,25,2327,,1.5,,,,,other,POWDER,13,,
M,SPS,,12.9,,C,1200,979,,1.5,,,,,other,POWDER,13,,
S,AC,,10.4,,C,60,795,,,,125,,,BCC,CAST,10.4,122,125
S,AC,,10.4,,C,100,765,,,,,,,BCC,CAST,10.4,122,122
S,AC,,10.4,,C,200,650,,,,,,,BCC,CAST,10.4,122,122
S,AC,,10.4,,C,300,590,,,,,,,BCC,CAST,10.4,122,122
S,AC,,10.4,,C,25,845,,,,,,,BCC,CAST,10.4,122,122
M,AC,,7.7,442,C,25,1350,2150,,28,,,,other,CAST,7.7,,
M,AC,,7.5,494,C,25,1370,1950,,23,,,,other,CAST,7.5,,
M,AC,,7.2,524,C,25,1600,1900,,23,,,,other,CAST,7.2,,
M,AC,,7,580,C,25,1550,1900,,12,,,,other,CAST,7,,
M,AC,,6.8,640,C,25,1650,2000,,9,,,,other,CAST,6.8,,
S,AC,,7.9,400,C,25,1150,1500,,25,123.1,,,other,CAST,7.9,,123.1
S,CR,,8.4,,C,-268.8,2250,,,,103.1,,,BCC,WROUGHT,8.4,100,103.1
S,CR,,8.4,,C,-268.8,2210,,,,103.1,,,BCC,WROUGHT,8.4,100,103.1
S,CR,,8.4,,C,-196,1880,,,,,,,BCC,WROUGHT,8.4,100,100
S,CR,,8.4,,C,-196,1750,,,,,,,BCC,WROUGHT,8.4,100,100
S,CR,,8.4,,C,-153,1640,,,,,,,BCC,WROUGHT,8.4,100,100
S,CR,,8.4,,C,-153,1550,,,,,,,BCC,WROUGHT,8.4,100,100
S,CR,,8.4,,C,-103,1380,,,,,,,BCC,WROUGHT,8.4,100,100
S,CR,,8.4,,C,-103,1370,,,,,,,BCC,WROUGHT,8.4,100,100
S,CR,,8.4,,C,-43,1200,,,,,,,BCC,WROUGHT,8.4,100,100
S,CR,,8.4,,C,-43,1180,,,,,,,BCC,WROUGHT,8.4,100,100
S,CR,,8.4,,C,72,1040,,,,,,,BCC,WROUGHT,8.4,100,100
S,CR,,8.4,,C,72,1020,,,,,,,BCC,WROUGHT,8.4,100,100
S,CR,,8.4,,C,25,1150,,,,,,,BCC,WROUGHT,8.4,100,100
S,CR,,8.4,,C,25,1100,,,,,,,BCC,WROUGHT,8.4,100,100
S,CR+A,,8.4,,C,-268.8,2390,,,,103.1,,,BCC,WROUGHT,8.4,100,103.1
S,CR+A,,8.4,,C,-196,1920,,,,,,,BCC,WROUGHT,8.4,100,100
S,CR+A,,8.4,,C,-153,1370,,,,,,,BCC,WROUGHT,8.4,100,100
S,CR+A,,8.4,,C,-103,1250,,,,,,,BCC,WROUGHT,8.4,100,100
S,CR+A,,8.4,,C,-43,1020,,,,,,,BCC,WROUGHT,8.4,100,100
S,CR+A,,8.4,,C,72,640,,,,,,,BCC,WROUGHT,8.4,100,100
S,CR+A,,8.4,,C,25,890,,,,,,,BCC,WROUGHT,8.4,100,100
M,AC,,8.5,,C,1000,398,430,,,,,,other,CAST,8.5,,
M,AC,,8.5,,C,25,1617,2016,,,,,,other,CAST,8.5,,
M,AC,,8.5,,C,1200,166,187,,,,,,other,CAST,8.5,,
M,AC,,8.2,,C,1000,614,696,,,,,,other,CAST,8.2,,
M,AC,,8.2,,C,25,1787,2052,,,,,,other,CAST,8.2,,
M,AC,,8.2,,C,1200,188,219,,,,,,other,CAST,8.2,,
M,AC,,7.9,,C,1000,673,741,,,,,,other,CAST,7.9,,
M,AC,,7.9,,C,25,2134,2242,,,,,,other,CAST,7.9,,
M,AC,,7.9,,C,1200,235,268,,,,,,other,CAST,7.9,,
S,AC,,9,,C,1000,368,394,,,131.9,,,BCC,CAST,9,126,132
S,AC,,9,,C,1200,60,,,,,,,BCC,CAST,9,126,132
S,AC,,9,,C,25,1260,,,,,,,BCC,CAST,9,126,132
S,CR+A,,8.5,,T,25,540,995,,,95.2,,,BCC,WROUGHT,8.5,92,95.2
M,HIP+A,,8.6,,C,1000,366,408,,,,,,other,OTHER,8.6,,
M,HIP+A,,8.6,,C,25,1745,1830,,,,,,other,OTHER,8.6,,
M,HIP+A,,7.6,,C,1000,579,646,,,,,,other,OTHER,7.6,,
M,HIP+A,,7.6,,C,25,2350,2460,,,,,,other,OTHER,7.6,,
M,HIP+A,,7.1,,C,25,2197,2370,,,,,,other,OTHER,7.1,,
S,HIP+A,,7.2,,C,1000,935,1019,,,,,,other,OTHER,7.2,,
S,HIP+A,,7.2,,C,25,,1320,,,,,,other,OTHER,7.2,,
S,HIP+A,,6.9,,C,1000,535,542,,,,,,other,OTHER,6.9,,
S,HIP+A,,6.9,,C,25,1352,1357,,,,,,other,OTHER,6.9,,
M,A,,7.5,,C,400,1273,1335,14.5,,,,,other,ANNEAL,7.5,,
M,A,,7.5,,C,600,597,651,50,,,,,other,ANNEAL,7.5,,
M,A,,7.5,,C,800,102,107,50,,,,,other,ANNEAL,7.5,,
M,A,,7.5,,C,25,1483,1611,9.5,,,,,other,ANNEAL,7.5,,
M,AC,,7.5,,C,600,920,1252,50,,,,,other,CAST,7.5,,
M,AC,,7.5,,C,800,371,427,50,,,,,other,CAST,7.5,,
M,AC,,7.5,,C,25,1540,1643,16.8,,,,,other,CAST,7.5,,
S,SPD,0.05,9.9,420,T,25,1900,,7.9,,110.6,,,BCC,OTHER,9.9,107,110.6
M,SPD+A,0.05,9.9,530,T,25,1520,,1.7,,,,,other,OTHER,9.9,,
M,SPD+A,0.1,9.9,340,T,25,795,,5,,,,,other,OTHER,9.9,,
S,CR+A,100,9.9,309,T,25,830,840,9.2,,110.6,,,BCC,WROUGHT,9.9,107,110.6
S,CR,,9.9,366,T,25,1202,1295,4.7,,110.6,,,BCC,WROUGHT,9.9,107,110.6
M,CR+A,,9.9,,T,25,1303,1334,,,,,,other,WROUGHT,9.9,,
S,CR+A,,9.9,351,T,25,1145,1262,9.7,,110.6,,,BCC,WROUGHT,9.9,107,110.6
S,CR+A,,9.9,,T,25,958,974,,,110.6,,,BCC,WROUGHT,9.9,107,110.6
S,CR+A,,9.9,,T,25,944,959,,,110.6,,,BCC,WROUGHT,9.9,107,110.6
S,CR+A,,9.9,,T,25,940,953,,,110.6,,,BCC,WROUGHT,9.9,107,110.6
S,CR+A,,9.9,,T,25,940,1080,,,110.6,,,BCC,WROUGHT,9.9,107,110.6
S,AC,,9.9,,C,25,905,,,,110.6,,,BCC,CAST,9.9,107,110.6
S,AC,,9.9,,C,25,890,,,,110.6,,,BCC,CAST,9.9,107,110.6
S,AC,,9.9,,T,25,828,862,,,110.6,,,BCC,CAST,9.9,107,110.6
S,AC,,9.9,,T,25,827,856,,,110.6,,,BCC,CAST,9.9,107,110.6
S,AC,,9.9,,T,25,820,869,,,110.6,,,BCC,CAST,9.9,107,110.6
S,AC,,9.9,,T,25,803,810,,,110.6,,,BCC,CAST,9.9,107,110.6
S,AC,,9.2,,C,25,1021,1249,,,184,,,BCC,CAST,9.3,183,184
S,AC,,8.6,,C,25,962,1033,,,174.1,,,BCC,CAST,8.7,173,174.1
S,AC,,8.2,,C,25,,735,,,165.8,,,BCC,CAST,8.2,165,165.8
S,AC,,9.5,,C,25,1221,1454,,,189.8,,,BCC,CAST,9.6,189,189.8
M,A,,11.1,571,C,25,2310,,0.3,,,,,other,ANNEAL,11.1,,
M,A,,11.1,536,C,25,2100,2200,3.5,,,,,other,ANNEAL,11.1,,
M,A,,11.1,,C,25,2020,2030,1.7,,,,,other,ANNEAL,11.1,,
M,A,,11.1,550,C,25,1950,2010,2.2,,,,,other,ANNEAL,11.1,,
S,AC,,11.1,365,C,25,1315,1800,21.6,,109.3,,,BCC,CAST,11.1,105,109.3
M,AC,,9.2,,T,25,400,1100,,,,,,other,CAST,9.2,,
M,AC,,9.4,,T,25,700,1100,,,,,,other,CAST,9.4,,
M,AC,,9.6,,T,25,800,1100,,,,,,other,CAST,9.6,,
S,AC,,10.2,,T,25,1500,1500,,,112,,,BCC,CAST,10.2,107,112
S,AC,,13,478.3,C,25,1109,1197,,,249.4,,,BCC,CAST,13.1,242,249.4
S,AC,,12.6,481.2,C,25,1211,1578,,,242,,,BCC,CAST,12.6,234,242
S,AC,,12.1,495.6,C,25,1304,1593,,,235.4,,,BCC,CAST,12.2,228,235.4
S,AC,,11.7,507.5,C,25,1455,1910,,,229.4,,,BCC,CAST,11.8,222,229.4
S,AC,,13.6,,C,25,996,1148,,,257.8,,,BCC,CAST,13.7,250,257.8
S,AC,,9.3,,C,25,1400,2450,,,172.8,,,BCC,CAST,9.4,171,172.8
S,AC,,10.9,,C,600,973,1590,,,212.5,,,BCC,CAST,11,209,212.5
S,AC,,10.9,,C,800,791.3,1180,,,,,,BCC,CAST,11,209,212.5
S,AC,,10.9,,C,1000,752.8,1105,,,,,,BCC,CAST,11,209,212.5
S,AC,,10.9,,C,1200,659,696,,,,,,BCC,CAST,11,209,212.5
S,AC,,10.9,,C,25,1515,2135,,,,,,BCC,CAST,11,209,212.5
S,AC,,11.7,,C,600,689,1681,,,229.4,,,BCC,CAST,11.8,222,229.4
S,AC,,11.7,,C,800,674,1618,,,,,,BCC,CAST,11.8,222,229.4
S,AC,,11.7,,C,1000,620,1426,,,,,,BCC,CAST,11.8,222,229.4
S,AC,,11.7,,C,1200,586,814,,,,,,BCC,CAST,11.8,222,229.4
S,AC,,11.7,,C,25,1343,2005,,,,,,BCC,CAST,11.8,222,229.4
M,AC,,9.1,,C,25,1390,,,,,,,other,CAST,9.1,,
M,A,,9.1,,C,25,1100,1200,,,,,,other,ANNEAL,9.1,,
M,AC,,9.1,,C,25,1375,1450,,,,,,other,CAST,9.1,,
